2026-01-31 00:33:36,575 | ERROR | werkzeug | 198.235.24.228 - - [31/Jan/2026 00:33:36] code 400, message Bad request version ('À\x13À')
2026-01-31 00:33:36,809 | ERROR | werkzeug | 198.235.24.228 - - [31/Jan/2026 00:33:36] code 400, message Bad HTTP/0.9 request type ('\x16\x03\x01\x00Ê\x01\x00\x00Æ\x03\x03\xadî§ñR·\x9ez')
2026-01-31 02:07:37,387 | ERROR | werkzeug | 167.94.138.167 - - [31/Jan/2026 02:07:37] code 400, message Bad request version ('À\x14À')
2026-01-31 02:07:39,575 | ERROR | werkzeug | 167.94.138.167 - - [31/Jan/2026 02:07:39] code 505, message Invalid HTTP version (2.0)
2026-01-31 02:08:04,309 | ERROR | werkzeug | 167.94.138.167 - - [31/Jan/2026 02:08:04] code 400, message Bad request version ('À\x14À')
2026-01-31 02:08:05,996 | ERROR | werkzeug | 167.94.138.167 - - [31/Jan/2026 02:08:05] code 400, message Bad request version ('À\x14À')
2026-01-31 03:07:16,043 | ERROR | werkzeug | 3.130.96.91 - - [31/Jan/2026 03:07:16] code 400, message Bad request version ('\x8a\\lm\x12\x9fÔîí¾')
2026-01-31 03:08:13,215 | ERROR | werkzeug | 3.130.96.91 - - [31/Jan/2026 03:08:13] code 400, message Bad request syntax ('SSH-2.0-Go')
2026-01-31 03:09:41,191 | ERROR | werkzeug | 3.130.96.91 - - [31/Jan/2026 03:09:41] code 400, message Bad HTTP/0.9 request type ('\x16\x03\x01\x00{\x01\x00\x00w\x03\x03\x9eúÙãÉn¡²\x0eX÷ÿãx5eÀãx\x9fvË\x8aæ¾\x9f\x8a\x83éök\x8f\x00\x00\x1aÀ/À+À\x11À\x07À\x13À')
2026-02-01 13:00:26,985 | ERROR | werkzeug | 198.235.24.214 - - [01/Feb/2026 13:00:26] code 400, message Bad request syntax ('\x16\x03\x01\x00î\x01\x00\x00ê\x03\x03Ú')
2026-02-01 13:00:27,229 | ERROR | werkzeug | 198.235.24.214 - - [01/Feb/2026 13:00:27] code 400, message Bad HTTP/0.9 request type ("\x16\x03\x01\x00Ê\x01\x00\x00Æ\x03\x03Èõ±\x92Ù°\x14,\x93P\x94ÕÌZz]æqbð\x17\x08Ïú\xad:ª=Ý\x11ä_\x00\x00hÌ\x14Ì\x13À/À+À0À,À\x11À\x07À'À#À\x13À")
2026-02-01 14:23:33,324 | ERROR | werkzeug | 141.98.83.86 - - [01/Feb/2026 14:23:33] code 400, message Bad HTTP/0.9 request type ('\x03\x00\x00/*à\x00\x00\x00\x00\x00Cookie:')
