2026-02-01 13:39:02,041 | INFO | advanced_flashcards | [READY] Advanced Flashcards WebApp started successfully. Open: http://127.0.0.1:8010 • http://192.168.0.129:8010
2026-02-01 13:39:02,062 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8010
 * Running on http://192.168.0.129:8010
2026-02-01 13:39:02,062 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-02-01 13:39:12,457 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET / ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:12,479 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:12] "GET / HTTP/1.1" 200 -
2026-02-01 13:39:12,577 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /styles.css ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:12,585 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /app.js ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:12,594 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:12] "GET /styles.css HTTP/1.1" 200 -
2026-02-01 13:39:12,639 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:12] "GET /app.js HTTP/1.1" 200 -
2026-02-01 13:39:12,768 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/me ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:12,772 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:12] "GET /api/me HTTP/1.1" 200 -
2026-02-01 13:39:12,772 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/ai/status ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
